Gene.symbol	P.Value	logFC
Fbxl7	0.0241	0.36603374
Gm10431	0.0241	-0.39220083
Larp1	0.0242	-0.21185583
1810058N15Rik	0.0242	-0.24899849
Cdk19	0.0242	-0.3395426
Ldoc1	0.0242	-0.21701546
Fam107a	0.0242	0.63809845
Dph6	0.0242	0.39362631
Car9	0.0242	-0.33340636
Tmem132e	0.0243	-0.2017798
Rad54l2	0.0243	0.49238891
Prp2	0.0243	-0.24339028
Cyp2r1	0.0243	0.24368207
0610037L13Rik	0.0243	0.18382462
Gm32857	0.0243	-0.19511965
Kdelr3	0.0243	0.59123642
Olfr52	0.0244	-0.20287531
Nup93	0.0244	0.28087991
Cryba2	0.0244	-0.31283571
Rabep1	0.0244	-0.18087789
Ubl3	0.0244	-0.1685085
Atg7	0.0244	0.17422081
Ms4a4b	0.0244	0.30123054
Tmem200a	0.0244	-0.24105737
Rprd1a	0.0245	-0.22613497
Casp8	0.0245	0.55770816
Olfr633	0.0245	-0.24877644
Zfp687	0.0245	-0.21312286
Rasef	0.0246	-0.31233531
Fbxo6	0.0246	-0.23975926
Zfp764	0.0246	0.20937578
Ythdf2	0.0246	0.15658492
Sun5	0.0246	-0.26626386
Mir185	0.0247	-0.22023952
Zfp410	0.0247	-0.23990765
Tekt4	0.0247	-0.20175501
Rnls	0.0247	-0.5114544
Phospho2	0.0247	-0.29723309
Gm20917	0.0247	-0.25109462
Nagk	0.0247	0.20994191
Rufy2	0.0247	0.25251741
Dohh	0.0248	-0.32210305
Pds5a	0.0248	0.2129321
Gpr176	0.0248	-0.29234335
Dnaic2	0.0248	-0.22145801
Gm10649	0.0248	0.19441021
Dcst2	0.0248	-0.25162159
Fcnaos	0.0248	-0.20648805
Snrpd2	0.0248	-0.32585738
Rhbg	0.0248	-0.20355397
Gtpbp10	0.0249	-0.2485643
Bcat2	0.0249	-0.30671538
Fgl2	0.0249	0.31614495
Dctn4	0.0249	0.26016942
Svs1	0.0249	-0.21656348
Nrg4	0.0249	0.81246456
Atp5g1	0.0249	-0.31170723
Il31	0.0249	-0.28256288
2210408I21Rik	0.0249	0.26653143
Rp9	0.0249	-0.25854722
Fam49b	0.025	-0.18216948
S100g	0.025	-0.30132008
Eef2k	0.025	-0.31298219
Gm10684	0.025	-0.23499662
Myof	0.025	0.30389811
Gpr137c	0.025	-0.26270113
Lats1	0.025	0.20138644
Gpr165	0.025	-0.2828888
Lpin3	0.025	0.20695407
BC048671	0.025	-0.18657367
Cyb5b	0.025	-0.23247974
Cltc	0.025	0.25783372
Fam81b	0.0251	-0.25930782
Cyp2c67	0.0251	-0.35122174
Tpm4	0.0251	0.28649052
Ssh3	0.0251	0.20847531
Sh2d7	0.0251	-0.30053365
Zfp110	0.0251	0.31412186
Socs6	0.0251	-0.22387224
Hspa8	0.0251	0.22630206
Ralb	0.0251	0.26360956
Tet1	0.0251	0.56552835
Gsn	0.0251	0.24470435
Cdk5	0.0251	0.19232886
Cyp2d26	0.0252	-0.22903145
Olfr1392	0.0252	-0.39506071
Rhox2e	0.0252	-0.19414875
Chd7	0.0252	-0.41857095
Ttc41	0.0252	0.15976047
Ino80	0.0252	0.25277463
Usp18	0.0252	0.40248432
4930448K20Rik	0.0252	-0.19645764
Glul	0.0252	0.43570077
Fbxw28	0.0253	-0.23015833
Acox1	0.0253	0.29628065
Dpp4	0.0253	-0.3700224
Btg1-ps1	0.0253	-0.21487233
Gm12359	0.0253	-0.20933761
Fxyd5	0.0253	0.46963236
Slc35f6	0.0253	0.22804042
Gpalpp1	0.0253	0.21010768
Cdkl4	0.0253	-0.23556196
Mrgprb5	0.0254	-0.19584419
Lrrd1	0.0254	-0.23810301
Clgn	0.0254	-0.15985608
Rasgef1c	0.0254	-0.25611126
Glipr1	0.0254	0.24080111
Got1	0.0254	-0.3392367
Xab2	0.0254	0.20269204
Vmn1r232	0.0254	-0.20240265
Gm10731	0.0254	-0.23187738
Trdn	0.0254	-0.22215471
Gm30417	0.0254	-0.22556557
Nol6	0.0254	0.25242135
Dlst	0.0254	-0.2738942
B930078G14Rik	0.0254	-0.24848326
Xxylt1	0.0254	0.300269
Drd5	0.0255	-0.23447457
Hrg	0.0255	-0.20832846
Sf3a2	0.0255	-0.23653771
Sptb	0.0255	-0.24087464
Lamp3	0.0255	-0.17345047
Dip2c	0.0255	0.36798127
Poll	0.0255	-0.29144696
Fanci	0.0255	-0.21593918
Zc3h12d	0.0255	-0.21366988
Usp6nl	0.0256	0.18953145
Prmt8	0.0256	-0.19142793
Trdn	0.0256	-0.46868838
Pla2g4e	0.0256	-0.51612921
Ift22	0.0256	0.28182698
Dfna5	0.0256	0.21804003
2010300C02Rik	0.0256	-0.27786315
Rps9	0.0256	0.32556476
Tm4sf5	0.0256	-0.24346795
Slc39a4	0.0256	0.21999248
Mt4	0.0256	-0.31951663
Atp4b	0.0256	-0.25737427
Hdac1	0.0256	0.19561253
Ctnna2	0.0257	-0.2241637
Foxb1	0.0257	-0.26440847
Ezr	0.0257	0.30948524
Cfdp1	0.0257	0.26075567
Tesc	0.0257	-0.32997076
Atp5g1	0.0257	-0.28432847
Havcr2	0.0258	0.25953512
Zpr1	0.0258	0.1968431
Abca4	0.0258	-0.28644125
Rbm26	0.0258	0.22981025
Cd226	0.0258	0.25957144
Olfr827	0.0258	-0.20546863
Mir335	0.0258	-0.31925545
Cracr2a	0.0258	-0.21713796
Fam135a	0.0258	-0.25231903
Zfp935	0.0258	0.29029119
Sft2d3	0.0258	-0.17925795
Pcsk1	0.0258	-0.28003385
Pi4kb	0.0258	0.26507232
Pik3ip1	0.0258	-0.34979696
Ugt2b38	0.0259	-0.19185404
Gm16982	0.0259	-0.30988116
Bcr	0.0259	-0.2157128
Aqp5	0.0259	-0.23798936
Myo18b	0.0259	0.33918686
Fdps	0.0259	-0.28796252
Nanos2	0.0259	-0.21271625
Sncg	0.0259	0.67618719
Pank3	0.0259	0.31069538
Nuf2	0.0259	0.3090141
Myo18b	0.0259	0.29156921
Nol4	0.0259	-0.19929186
Hist1h1a	0.0259	0.26824926
Lrrc59	0.026	0.2994138
Bco1	0.026	-0.22705728
Nacad	0.026	-0.2512513
Riok2	0.026	0.23847903
Inpp5a	0.026	-0.27159409
Crct1	0.026	-0.28144205
Kptn	0.026	-0.20823112
Uap1l1	0.026	0.27357759
Safb2	0.0261	0.17659628
Krtap4-1	0.0261	-0.22586703
Cdon	0.0261	-0.2245648
Gm20917	0.0261	-0.18194374
Rpsa	0.0261	0.24945713
Ly6i	0.0261	-0.28646665
Gm10386	0.0261	-0.25131464
Zfp119b	0.0261	-0.22692932
Fam163b	0.0261	-0.19114492
Gm5766	0.0261	0.18425111
Mmp20	0.0261	-0.2093284
Fbxw22	0.0261	-0.26326344
Vmn1r212	0.0261	-0.21867417
Snrpd2	0.0262	-0.34239581
Palm3	0.0262	-0.24235473
Sstr1	0.0262	-0.28518308
Xrcc2	0.0262	-0.24126842
Vip	0.0262	-0.19360733
Gm19410	0.0262	0.23548225
Dusp12	0.0262	0.27602344
Zbtb8b	0.0262	-0.22828111
Topbp1	0.0262	0.23583544
Majin	0.0262	-0.32500655
Glra2	0.0262	-0.2236599
Kcna1	0.0263	0.26816564
Olfr1048	0.0263	-0.21077416
Ccr6	0.0263	-0.41070405
Olfr419	0.0263	-0.21380455
Aicda	0.0263	-0.2140824
Gm32211	0.0263	0.41869829
Trpa1	0.0263	-0.23457244
9630028B13Rik	0.0263	-0.18904839
Gpr139	0.0263	-0.26448131
Mir455	0.0264	0.28066789
Mettl20	0.0264	-0.28065264
Ttc13	0.0264	0.17951101
Zfp791	0.0264	-0.26158785
Gfi1b	0.0264	-0.22962913
Kbtbd3	0.0264	-0.27624109
Zscan2	0.0264	0.20575115
Rnf5	0.0264	-0.20505464
1700069L16Rik	0.0264	-0.23347683
Rnf183	0.0264	-0.30281071
Ebna1bp2	0.0264	0.19223797
Intu	0.0264	0.32610904
1700014B07Rik	0.0264	-0.31463138
Olfr917	0.0265	-0.21174898
Cirh1a	0.0265	0.19756337
Nrgn	0.0265	-0.25815775
Apol7d	0.0265	-0.2877238
Snord115	0.0265	0.20462187
1700006J14Rik	0.0265	-0.35565986
Bpnt1	0.0266	-0.25290305
Ftmt	0.0266	-0.18968286
Zfp93	0.0266	-0.33011083
Pnliprp2	0.0266	-0.27678579
Mak16	0.0266	0.21307963
Olfr462	0.0266	-0.36404056
Gabrb1	0.0266	-0.33579646
Chrna3	0.0266	-0.21253915
Gm10681	0.0266	-0.22902033
Gm10681	0.0266	-0.22902033
Hecw2	0.0266	0.29720705
Col1a2	0.0266	0.42277108
Ccdc61	0.0267	-0.22507018
Snora31	0.0267	-1.10829552
Greb1	0.0267	0.26137444
Poglut1	0.0267	0.25878101
Sec14l3	0.0267	-0.18780036
Gm10734	0.0267	-0.29047748
Casc1	0.0268	-0.1894791
Narf	0.0268	-0.41584183
Ret	0.0268	-0.37576531
Dgat2	0.0268	0.53324466
Gm5082	0.0268	-0.1878148
Itpa	0.0268	0.41236278
Sept6	0.0268	0.18694784
L1td1	0.0269	-0.25382116
Pdzd2	0.0269	0.46080276
Ptpn9	0.0269	0.33604958
Armc4	0.0269	-0.18399911
Col5a1	0.0269	0.27413114
Tyms	0.0269	0.34881929
Slc26a1	0.0269	-0.17637407
Tspan9	0.0269	0.28685555
Pigr	0.0269	-0.26898379
Xylt2	0.0269	0.21359089
Mettl2	0.027	0.22864006
Tmem97	0.027	0.27775423
G6pdx	0.027	0.59024659
Rps6	0.027	0.26178785
Gstt4	0.027	-0.25677513
Hykk	0.027	0.28762281
Aire	0.027	-0.3021586
Dhrs9	0.0271	0.59808106
Hsf1	0.0271	-0.20217694
Msh5	0.0271	-0.22052375
Gm12830	0.0271	-0.26745222
1700009J07Rik	0.0271	-0.20624716
AI854703	0.0271	-0.25857654
Pi4k2a	0.0271	0.22842149
Olfr1416	0.0271	-0.23451522
Bpifb2	0.0271	-0.20109608
9230104L09Rik	0.0271	0.26810724
Lyar	0.0271	-0.30742083
Tlx3	0.0271	-0.30349505
Mir6516	0.0272	-0.7783395
Olfr933	0.0272	-0.18993236
Gm10638	0.0272	-0.37492405
Sectm1a	0.0272	-0.27933244
Ccdc155	0.0272	-0.18838985
Spata20	0.0272	-0.32959855
P3h1	0.0272	0.24055446
Fiz1	0.0272	-0.234161
Alg10b	0.0272	0.32238699
Chn1	0.0272	0.24444907
Adamts5	0.0272	0.39237187
Srrm1	0.0273	0.27695176
Tmed10	0.0273	0.18028082
Marveld2	0.0273	0.21639644
Hist2h2be	0.0273	-0.27609408
Msantd2	0.0273	0.22514046
Slc18b1	0.0273	0.38874895
A630001O12Rik	0.0273	-0.20634295
Atp8b4	0.0273	0.26678748
Asgr2	0.0273	-0.29006513
Slc35a4	0.0273	0.27200103
2410080I02Rik	0.0273	-0.27897266
Gstp1	0.0273	-0.25735284
Sesn2	0.0273	0.16672167
Mycs	0.0273	-0.26781492
Psmd14	0.0274	0.28741713
Olfr466	0.0274	-0.22730796
Clp1	0.0274	0.1925801
4930463O16Rik	0.0274	-0.20902158
Akr1b7	0.0274	-0.25111336
Dlg4	0.0274	0.19517673
Camkmt	0.0274	0.41201212
Nuggc	0.0274	-0.32162969
Spag8	0.0274	-0.21671504
Tnk2os	0.0274	-0.22127667
Ear12	0.0274	0.36408845
Amy2a2	0.0275	-0.20532952
Amy2a2	0.0275	-0.20532952
Amy2a2	0.0275	-0.20532952
Amy2a2	0.0275	-0.20532952
Cd209d	0.0275	-0.20078568
Tifab	0.0275	0.19692649
Gm7489	0.0275	-0.29664248
Tmtc2	0.0275	0.3658864
Gm6133	0.0275	0.2091078
Acot11	0.0275	-0.36995414
Olfr1217	0.0275	-0.22074408
Prkch	0.0275	0.3416011
Nsg1	0.0275	-0.23922197
Gps2	0.0275	-0.31869544
Gm6815	0.0276	-0.2730185
Gen1	0.0276	-0.31298642
Taar2	0.0276	-0.19412246
Atxn7l3b	0.0276	0.34185456
Tmem54	0.0276	-0.22566023
Neto2	0.0276	-0.70999681
Asf1b	0.0277	0.32116399
Tle1	0.0277	0.2945743
Thsd4	0.0277	0.1887806
B830017H08Rik	0.0277	-0.21820748
Nt5m	0.0277	-0.23783941
Pdss2	0.0277	-0.32102069
Ribc2	0.0277	-0.24389288
Hsd17b11	0.0277	0.29424391
Gm3259	0.0277	-0.15601072
Gm3259	0.0277	-0.15601072
Llgl1	0.0277	0.23908273
Stard9	0.0277	0.37037281
3110009E18Rik	0.0278	-0.45275335
Heatr5a	0.0278	0.35727349
Gm10653	0.0278	0.19237518
Ighmbp2	0.0278	-0.21734453
Nol3	0.0278	0.24352256
Dnah3	0.0278	-0.30088055
Wdr81	0.0278	0.21217617
Mboat1	0.0278	0.25763345
Kazn	0.0279	-0.16459312
Dll3	0.0279	-0.17550812
Slc43a1	0.0279	-0.40667609
Plekhg6	0.0279	-0.18475274
Sf3b2	0.0279	0.18490476
Arhgef1	0.0279	0.18957859
Trip13	0.0279	0.24670158
Olfr290	0.0279	-0.19192224
9530053A07Rik	0.0279	-0.21759531
Alg9	0.0279	0.24571444
Gm20917	0.0279	-0.1713106
Cnst	0.0279	-0.242163
Fev	0.0279	-0.2896441
Rit2	0.028	-0.23097644
Cdan1	0.028	0.31171493
Ccdc107	0.028	-0.21227493
Kmt2e	0.028	0.352295
Atxn2l	0.028	0.28967171
Prss54	0.028	-0.26171342
Nr4a1	0.028	-0.70145834
Fryl	0.028	0.38738748
1700012B09Rik	0.028	-0.19543692
Blvra	0.028	-0.26475082
Tmem200c	0.028	-0.31404312
Mcm3	0.0281	0.2315156
Pou3f4	0.0281	-0.20047181
Plekha6	0.0281	0.38115626
Obox5	0.0281	-0.21333494
Vsx2	0.0281	-0.28921719
Rnf181	0.0281	0.27073277
Gm21319	0.0281	0.25248833
Emilin2	0.0281	-0.34286112
Nucb2	0.0281	0.25302168
Hmga1	0.0282	-0.25648419
1700018B08Rik	0.0282	-0.25927535
Glrx3	0.0282	-0.26685036
Wee1	0.0282	0.5293335
Nhlh2	0.0283	-0.17844977
Adamts18	0.0283	-0.27933338
Fam155a	0.0283	-0.25042365
Nkx2-5	0.0283	-0.28637773
Pex6	0.0283	0.16613775
D130079A08Rik	0.0283	-0.24594625
Eif4e1b	0.0283	-0.23304993
Trmt5	0.0284	0.22405316
Npepps	0.0284	0.3007451
Cmtm5	0.0284	0.20550738
Dhrs1	0.0284	-0.2566212
Gprin1	0.0284	-0.29286455
Golga3	0.0285	0.29426028
Kifc2	0.0285	-0.19322151
Snord32a	0.0285	-0.2130749
Vmn1r218	0.0285	-0.23800103
Slc6a20b	0.0285	-0.25378697
Olfr1015	0.0285	-0.19509191
Ifi202b	0.0286	0.38573177
Sele	0.0286	-0.31020804
Atl3	0.0286	0.3658126
Naip7	0.0286	0.31988978
Gm10742	0.0287	-0.21418751
Krt25	0.0287	-0.18194739
Rlf	0.0287	0.27058251
Bpifc	0.0288	-0.23508408
Nudt16l1	0.0288	0.26206124
Zfp428	0.0288	-0.24077128
Rgs8	0.0288	-0.32563125
Podxl2	0.0288	-0.32856744
Rps18	0.0288	0.30821352
Fam151a	0.0288	-0.22408633
Ddx39	0.0289	0.21494316
Galr1	0.0289	-0.27385459
Duxbl2	0.0289	0.29155428
Duxbl2	0.0289	0.29155428
Olfr1537	0.0289	-0.31217142
Hist1h1t	0.0289	-0.363574
Pcolce2	0.0289	-0.407581
Tmem178	0.0289	-0.17685315
Klf3	0.029	0.34354255
Agxt2	0.029	-0.21705551
Glo1	0.029	-0.37852927
Olfr1418	0.029	-0.32160105
Glul	0.029	0.42140527
Snord116l2	0.029	0.33605765
Snord116l2	0.029	0.33605765
Snord116l2	0.029	0.33605765
Snord116l2	0.029	0.33605765
Snord116l2	0.029	0.33605765
Snord116l2	0.029	0.33605765
Snord116l2	0.029	0.33605765
Snord116l2	0.029	0.33605765
Snord116l2	0.029	0.33605765
Snord116l2	0.029	0.33605765
Snord116l2	0.029	0.33605765
Snord116l2	0.029	0.33605765
Snord116l2	0.029	0.33605765
Snord116l2	0.029	0.33605765
Snord116l2	0.029	0.33605765
Snord116l2	0.029	0.33605765
Snord116l2	0.029	0.33605765
Snord116l2	0.029	0.33605765
Rprd2	0.029	0.24170658
Hmcn1	0.029	0.36120724
Dxo	0.029	0.19428974
Dnmt3l	0.029	-0.25778312
Gm826	0.029	-0.2223658
Hmcn1	0.0291	0.26723856
Dcaf4	0.0291	-0.35113185
Fabp1	0.0291	-0.28464292
Cd9	0.0291	0.33557514
Eif2a	0.0291	-0.19294725
Ncapg	0.0291	0.20778291
Cfap61	0.0291	-0.19758878
Slc30a4	0.0291	0.18260958
Mir25	0.0291	-0.28786415
LOC102637808	0.0292	-0.30424213
Birc6	0.0292	0.38258593
Dsg4	0.0292	-0.24716045
Zbtb11os1	0.0292	0.24601808
Zfp800	0.0292	0.22576558
Ormdl1	0.0292	-0.35195593
Gm4750	0.0292	0.25486195
Gm4750	0.0292	0.25486195
Zfp729a	0.0292	0.28169109
Apoa2	0.0293	-0.29837067
A830005F24Rik	0.0293	-0.1608858
Rpl21	0.0293	0.15486111
Zswim7	0.0293	-0.22305959
H2-Ea-ps	0.0293	-0.23264273
1700086D15Rik	0.0293	0.21074853
Cox6b2	0.0293	-0.2509888
Kdm2a	0.0293	0.20157817
Gata5	0.0293	-0.24954352
Olfr168	0.0293	-0.20621617
Coro2b	0.0293	0.34753509
Tspear	0.0294	-0.22916488
Ccdc42	0.0294	-0.24216364
Olfr1082	0.0294	-0.16645645
Lrrcc1	0.0294	0.47027178
Sult2a3	0.0294	-0.20464479
2310011J03Rik	0.0294	0.17591261
Shfm1	0.0295	-0.44725965
4930515G01Rik	0.0295	-0.30417055
Gm9919	0.0295	-0.23731737
Bdp1	0.0295	0.27157068
Synj2	0.0295	0.38276311
Tmprss11g	0.0295	-0.24298611
Pou4f3	0.0295	-0.32073552
Snx24	0.0295	-0.23793719
Mlana	0.0295	-0.30922883
Arhgap30	0.0295	0.22605557
Apba2	0.0296	-0.27292775
Adam8	0.0296	0.22536274
Ephx3	0.0296	0.22039766
Kndc1	0.0296	-0.30884297
Mir504	0.0296	-0.2500198
Tbc1d30	0.0296	-0.24944851
Atad5	0.0296	0.172037
Zfp942	0.0296	-0.39673257
Myo1g	0.0297	0.1818915
Klra9	0.0297	-0.46425606
Tsr3	0.0297	-0.2543728
Nsmce4a	0.0297	-0.19403884
Ctdnep1	0.0297	-0.19621347
Ctdnep1	0.0297	-0.19621347
Olfr1258	0.0298	-0.22779732
Trim40	0.0298	-0.27422325
Gm3912	0.0298	-0.22991294
Olfr152	0.0298	-0.25226562
Cdc40	0.0298	0.34953726
Cyp2d12	0.0298	-0.21065558
Gm3912	0.0299	-0.27416388
Tmem241	0.0299	0.33145432
Gm8675	0.0299	-0.19723221
Slc35a1	0.0299	0.29730368
Gm10389	0.0299	-0.22424456
Evc	0.0299	-0.29481141
Trmt2a	0.0299	0.21289072
Gm9796	0.0299	-0.18045534
Slc29a4	0.0299	-0.27199847
Zswim4	0.0299	0.22874921
Stard9	0.0299	0.29663562
D830046C22Rik	0.0299	-0.33735097
Pgam1	0.03	0.40044105
Pgam1	0.03	0.40044105
Nploc4	0.03	0.3242326
Ppig	0.03	0.25304359
Sf3b4	0.03	-0.34854113
Izumo1r	0.03	-0.1922538
Ccdc180	0.03	-0.24058841
Cygb	0.03	0.42084232
Morc3	0.0301	0.20564009
Nkx3-2	0.0301	-0.21469402
Adh5	0.0301	-0.17094843
4930404N11Rik	0.0301	-0.3154542
Lce3e	0.0302	-0.18449646
Dnah5	0.0302	-0.22849003
Esrp2	0.0302	-0.26389046
Snord33	0.0302	-0.31445544
BC005561	0.0302	0.32895197
Qpctl	0.0302	0.3544529
Xpot	0.0302	0.33310581
Timm44	0.0302	-0.31943295
Sdcbp2	0.0302	-0.27332151
Ift80	0.0302	0.28360939
Wscd1	0.0302	-0.22906307
Krt86	0.0303	-0.24933558
Ppp1r14a	0.0303	-0.22565084
Gm9951	0.0303	-0.2187472
DXBay18	0.0303	-0.22779879
Psg16	0.0303	-0.18718538
Pmfbp1	0.0303	-0.19186703
Kcnip4	0.0303	-0.26471244
Mutyh	0.0303	-0.21997202
Vps54	0.0303	-0.2451473
Sez6l	0.0304	-0.19841377
Aars2	0.0304	-0.2435843
Snora23	0.0304	-1.069704
1110038F14Rik	0.0304	0.26498304
Ptf1a	0.0304	-0.22148443
Dlgap3	0.0304	-0.23972396
Aurkb	0.0304	0.31506067
Gm38525	0.0304	-0.19523017
Zfp128	0.0304	-0.21931377
Gm5447	0.0305	-0.21986034
Gpr142	0.0305	-0.23504348
Acat1	0.0305	-0.31065103
Lif	0.0305	-0.33017515
Mrpl45	0.0305	-0.33250449
Fam83h	0.0305	0.24778575
Olfr807	0.0305	-0.19821397
Lipe	0.0306	0.56703815
Tspan12	0.0306	0.28691564
Ahrr	0.0306	-0.25342041
B430218F22Rik	0.0306	-0.21354214
Nkain2	0.0306	-0.28715247
Mir680-3	0.0306	-0.32735637
Col1a1	0.0306	0.41029281
Nicn1	0.0306	0.35302794
Prss8	0.0306	-0.29556415
Mfsd14b	0.0307	0.37072065
Ccl9	0.0307	0.46327571
Gm4894	0.0307	-0.25335562
Selenbp2	0.0307	-0.20552167
Ankrd34b	0.0307	-0.28367244
Tnip1	0.0307	0.17451025
Cytip	0.0307	0.30323686
Tmem65	0.0307	-0.31480364
Impa2	0.0307	0.22529853
Gm5429	0.0307	-0.21817607
Plaa	0.0307	0.29503928
Gm9855	0.0307	0.17936708
Cyp7a1	0.0307	-0.24238769
Trim28	0.0307	0.19351599
Slc1a6	0.0308	-0.19674873
Clec18a	0.0308	-0.20268513
Cngb1	0.0308	-0.21577023
Slc25a20	0.0308	-0.29876532
Efhc1	0.0309	0.29698394
Exosc2	0.0309	0.24117748
Otud6a	0.0309	-0.33033665
Olfr943	0.0309	-0.30350383
Hes3	0.0309	-0.16778205
Prickle4	0.0309	-0.27065315
Slc35b3	0.0309	0.24025983
Dpp6	0.0309	-0.28525775
Slc22a15	0.0309	0.22220979
Sp3	0.0309	0.24139845
Ccdc180	0.031	-0.18704039
Cspp1	0.031	0.1913113
Olfr624	0.031	-0.26125441
Gm10863	0.031	0.2762045
Gm1604a	0.031	-0.151049
4930535I16Rik	0.031	-0.28024201
Mapk1	0.031	0.17011279
Rd3	0.0311	-0.23993184
Snrnp25	0.0311	-0.26577272
Zbtb38	0.0311	0.21764768
Cr2	0.0311	-0.18869169
Kcnmb4	0.0311	-0.20080229
Rheb	0.0311	-0.13833629
Atg2b	0.0311	0.27445031
Marf1	0.0311	0.2527743
Ect2l	0.0311	0.17630912
Ppp1r13b	0.0312	0.36590319
Tcp11l2	0.0312	0.26625458
Rhof	0.0312	-0.24418462
Scn2a1	0.0312	0.37301606
Wdr73	0.0312	0.45898514
Lect1	0.0312	-0.28478956
Erbb3	0.0312	0.45226348
Amelx	0.0312	-0.16590877
Dppa4	0.0312	-0.32132942
Rhox4d	0.0313	-0.26924838
Gm5766	0.0313	0.19281718
Celf2	0.0313	0.3371942
Sergef	0.0313	0.25894926
Tmem8b	0.0313	0.21218021
Med24	0.0313	-0.21537495
Ripk4	0.0313	-0.18462631
Nmnat3	0.0313	-0.2160115
Ulk3	0.0313	0.21140654
Defb3	0.0313	-0.26444312
2700060E02Rik	0.0313	-0.19264457
Itpa	0.0314	0.35798232
Ppil4	0.0314	0.21990091
Ash1l	0.0314	0.29593843
Gm5922	0.0314	-0.17669604
Coq7	0.0314	-0.27755343
Gm8995	0.0314	0.38896097
Ctnnb1	0.0314	0.26098621
Zfp455	0.0314	0.32745454
Hpn	0.0314	-0.18956611
Sdha	0.0314	-0.24626055
Zfp882	0.0314	0.27283429
Zfp280d	0.0314	0.2098784
Ntn5	0.0315	0.29330525
Tmod1	0.0315	-0.30362293
Sorcs3	0.0315	-0.1982379
Mia3	0.0315	-0.26997386
Zfp389	0.0315	-0.21406728
Myo15	0.0315	-0.24266981
Prosc	0.0315	-0.17595115
1110008L16Rik	0.0315	-0.26856155
Snord15a	0.0315	-0.54203306
Prkar2b	0.0315	0.90278203
4930412O13Rik	0.0315	-0.21724002
Klf2	0.0315	-0.2877089
Mcts1	0.0316	-0.48911794
Cdkn2b	0.0316	-0.31088965
Sharpin	0.0316	-0.20932693
Uqcc2	0.0316	-0.31087114
Bcl9l	0.0316	0.29389204
Terf1	0.0316	0.30743172
Arih2os	0.0317	-0.30231923
4930432M17Rik	0.0317	-0.17911923
Mcidas	0.0317	-0.21666968
Fam219aos	0.0317	-0.19928988
Gm10445	0.0317	-0.29154512
Xbp1	0.0317	0.31101334
Methig1	0.0318	-0.19148902
Nobox	0.0318	-0.22041185
Rusc2	0.0318	0.18994739
Mir664	0.0318	-0.23280723
Pde1a	0.0318	0.29973916
Snrnp200	0.0319	0.28167653
Sash1	0.0319	0.27753357
Gm9757	0.0319	-0.28083951
ND3	0.0319	-0.2274732
Rnu12	0.0319	-0.33290954
Hnmt	0.0319	-0.42650739
Themis3	0.0319	-0.29073087
Gm32899	0.032	0.29166739
Spef2	0.032	-0.17352192
Cdh19	0.032	0.31013414
Ubap2l	0.032	0.19845746
Hist1h2al	0.032	0.26246923
B630019K06Rik	0.032	-0.29563532
H2-DMa	0.032	0.29208285
Arx	0.032	-0.28085772
Mia2	0.032	-0.2278028
Acer1	0.032	-0.20540406
Gm6460	0.032	-0.20687984
Pcdh10	0.032	-0.18925105
P2ry1	0.0321	-0.33220133
D130043K22Rik	0.0321	-0.23017347
Cpne8	0.0321	0.25035254
Efna1	0.0321	-0.31633799
Slit3	0.0321	0.23845585
9430020K01Rik	0.0321	0.39324208
Endod1	0.0322	0.34889868
Nhlrc1	0.0322	-0.17166339
Muc3	0.0322	-0.27504013
Ammecr1l	0.0322	0.26519124
Gm3837	0.0322	-0.38020678
Aamdc	0.0322	-0.25111076
Dnajc19	0.0322	-0.23129586
4930578G10Rik	0.0323	0.40148793
Mir181a-2	0.0323	-0.37014496
Sp3	0.0323	-0.25995315
Ermp1	0.0323	0.29212675
Gm10228	0.0323	-0.25452985
LOC102639044	0.0323	0.23933268
Olfr1136	0.0323	-0.17270547
BC048562	0.0323	-0.21106831
Slc2a7	0.0323	-0.2456178
Nfs1	0.0323	-0.30341256
Ccl12	0.0323	0.30575675
Gm10543	0.0324	-0.22714356
Mthfd2l	0.0324	0.19394762
Vstm4	0.0324	0.23636201
Prss12	0.0324	0.21789511
Arhgef16	0.0324	-0.21273922
Ncbp2	0.0324	0.22395445
Masp1	0.0325	-0.18549762
Bcl11a	0.0325	-0.30846394
Ifi27l2a	0.0325	0.72710676
Gm4070	0.0325	0.25829835
Hmcn1	0.0326	0.39670332
Ppp1r2-ps9	0.0326	-0.23213006
Sema3c	0.0326	0.20283519
Gm10826	0.0326	-0.17960121
Nsun4	0.0326	-0.26443196
Tle6	0.0326	-0.27138187
Eda	0.0326	0.23199409
Hesx1	0.0326	-0.20400022
Tmem135	0.0326	0.24475234
Snord118	0.0326	-1.02026072
Snord118	0.0326	-1.02026072
Olfr1335	0.0327	-0.28160174
Zfp850	0.0328	0.18238552
F730048M01Rik	0.0328	-0.36102316
Tmem102	0.0328	-0.2537963
Ireb2	0.0328	0.25277738
Aimp1	0.0329	-0.19768312
4932430I15Rik	0.0329	-0.1986288
4930578I07Rik	0.0329	-0.19271754
Dleu7	0.0329	0.34019554
Cnih3	0.0329	-0.26622657
Vmn1r199	0.0329	-0.24988919
Nfe2l2	0.0329	0.18917958
Nmrk1	0.0329	-0.41288036
Myt1	0.0329	-0.23188568
Rbm6	0.0329	0.28714375
Dcaf12l2	0.033	-0.22847559
Mat2b	0.033	-0.20493682
Tnrc6c	0.033	0.22591525
Tas2r136	0.033	-0.17572392
